""," "," "," "," "," Outcome, Q3 v. Q1"," "," "," "
"1"," "," "," "," ","Unadjusted"," ","Fully adjusted"," "
"2"," ","Outcome","Q1 Mean","Q3 Mean","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"3","Entire promoter region (39 assayed CpG sites)","LAZ Year 2","0.22","0.48","-0.05 (-0.11, 0.01)","1.15","-0.01 (-0.05, 0.02)","1.35"
"4","","","","","","","",""
"5","NGFI-A transcription factor binding site (CpG site #12)","LAZ Year 2","0","1.21","0.16 (-0.08, 0.4)","0.2","0.02 (-0.04, 0.08)","0.63"
