"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"35","iPF(2a)-VI","LAZ Year 1","688","2.31","2.87","-1.11","-1.44","-0.32 (-0.55, -0.09)","0.01","0.03","-1.15","-1.36","-0.21 (-0.33, -0.08)","0","0.01"
"36","","WAZ Year 1","688","2.31","2.87","-1.1","-1.28","-0.17 (-0.27, -0.07)","0","0.01","-1.02","-1.15","-0.13 (-0.22, -0.05)","0","0.02"
"37","","WLZ Year 1","688","2.31","2.87","-0.72","-0.84","-0.12 (-0.22, -0.03)","0.01","0.04","-0.64","-0.73","-0.09 (-0.17, -0.01)","0.03","0.12"
"38","","HCZ Year 1","683","2.3","2.87","-1.73","-1.74","-0.01 (-0.12, 0.1)","0.83","0.9","-1.6","-1.63","-0.03 (-0.12, 0.07)","0.63","0.72"
"39","","LAZ Year 2","603","2.3","2.86","-1.31","-1.41","-0.1 (-0.19, 0)","0.04","0.11","-1.53","-1.48","0.06 (-0.01, 0.13)","0.12","0.24"
"40","","WAZ Year 2","605","2.3","2.86","-1.44","-1.53","-0.09 (-0.18, 0)","0.05","0.12","-1.63","-1.6","0.03 (-0.02, 0.07)","0.24","0.36"
"41","","WLZ Year 2","603","2.3","2.86","-0.98","-1.01","-0.03 (-0.12, 0.06)","0.51","0.64","-1.19","-1.17","0.02 (-0.04, 0.09)","0.48","0.61"
"42","","HCZ Year 2","602","2.3","2.86","-1.81","-1.8","0.02 (-0.07, 0.11)","0.74","0.84","-1.98","-1.93","0.06 (-0.01, 0.13)","0.12","0.24"
"43","","Length velocity (cm/month) Year 1 to Year 2","603","2.3","2.86","0.8","0.81","0 (-0.01, 0.02)","0.48","0.63","0.8","0.81","0.01 (-0.01, 0.03)","0.27","0.37"
"44","","Weight velocity (kg/month) Year 1 to Year 2","605","2.3","2.86","0.15","0.15","0 (0, 0.01)","0.04","0.1","0.14","0.15","0 (0, 0.01)","0.19","0.31"
"45","","Head circumference velocity (cm/month) Year 1 to Year 2","603","2.3","2.86","0.14","0.15","0.01 (0, 0.02)","0.1","0.17","0.15","0.15","0 (0, 0.01)","0.24","0.36"
"46","","Change in LAZ from Year 1 to Year 2","603","2.3","2.86","-0.1","0.06","0.16 (0.06, 0.26)","0","0.01","-0.3","-0.18","0.12 (0.03, 0.2)","0.01","0.04"
"47","","Change in WAZ from Year 1 to Year 2","605","2.3","2.86","-0.3","-0.22","0.08 (0.03, 0.12)","0","0.01","-0.37","-0.31","0.07 (0.02, 0.11)","0.01","0.05"
"48","","Change in WLZ from Year 1 to Year 2","603","2.3","2.86","-0.32","-0.23","0.08 (0.02, 0.15)","0.01","0.05","-0.26","-0.21","0.05 (-0.04, 0.14)","0.25","0.36"
"49","","Change in HCZ from Year 1 to Year 2","599","2.3","2.87","-0.14","0.01","0.14 (0.03, 0.25)","0.01","0.04","-0.16","-0.09","0.07 (-0.01, 0.15)","0.08","0.2"
"50","","","","","","","","","","","","","","",""
"51","8,12-iso-iPF(2a)-VI","LAZ Year 1","688","2.16","2.91","-1.39","-1.33","0.06 (-0.15, 0.28)","0.59","0.71","-1.16","-1.26","-0.1 (-0.23, 0.03)","0.12","0.24"
"52","","WAZ Year 1","688","2.16","2.91","-1.22","-1.15","0.07 (-0.15, 0.28)","0.55","0.69","-1.05","-1.11","-0.06 (-0.21, 0.09)","0.43","0.56"
"53","","WLZ Year 1","688","2.16","2.91","-0.75","-0.78","-0.03 (-0.2, 0.14)","0.73","0.84","-0.62","-0.69","-0.07 (-0.18, 0.04)","0.21","0.32"
"54","","HCZ Year 1","683","2.16","2.91","-1.72","-1.7","0.02 (-0.12, 0.16)","0.77","0.86","-1.6","-1.62","-0.02 (-0.14, 0.1)","0.71","0.77"
"55","","LAZ Year 2","603","2.17","2.9","-1.41","-1.33","0.09 (-0.11, 0.28)","0.41","0.55","-1.56","-1.46","0.1 (0, 0.21)","0.06","0.16"
"56","","WAZ Year 2","605","2.16","2.9","-1.45","-1.52","-0.06 (-0.21, 0.08)","0.41","0.55","-1.63","-1.61","0.02 (-0.03, 0.06)","0.55","0.67"
