"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Fully adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Pre-stressor cortisol","WAZ Year 2","754","-2.51","-1.66","-1.53","-1.51","0.02 (-0.16, 0.2)","0.83","1","-1.78","-1.75","0.02 (-0.1, 0.14)","0.71","0.91"
"4","","WLZ Year 2","753","-2.51","-1.66","-1.02","-1.01","0.01 (-0.15, 0.18)","0.88","1","-1.2","-1.22","-0.02 (-0.11, 0.07)","0.67","0.91"
"5","","HCZ Year 2","752","-2.51","-1.66","-1.84","-1.86","-0.02 (-0.14, 0.1)","0.74","1","-1.67","-1.7","-0.03 (-0.1, 0.05)","0.52","0.91"
"6","","","","","","","","","","","","","","",""
"7","Post-stressor cortisol","WAZ Year 2","697","-2.06","-0.6","-1.5","-1.34","0.16 (-0.08, 0.41)","0.19","0.49","-1.7","-1.68","0.02 (-0.14, 0.18)","0.83","0.91"
"8","","WLZ Year 2","697","-2.06","-0.6","-0.96","-0.9","0.06 (-0.17, 0.28)","0.63","1","-1.05","-1.08","-0.04 (-0.22, 0.15)","0.71","0.91"
"9","","HCZ Year 2","696","-2.06","-0.6","-1.93","-1.73","0.2 (-0.03, 0.42)","0.08","0.49","-1.74","-1.75","-0.01 (-0.16, 0.13)","0.85","0.91"
"10","","","","","","","","","","","","","","",""
"11","Pre to post-stress change in slope of cortisol","WAZ Year 2","691","-0.01","0","-1.51","-1.44","0.07 (-0.02, 0.17)","0.12","0.49","-1.74","-1.72","0.02 (-0.11, 0.15)","0.8","0.91"
"12","","WLZ Year 2","691","-0.01","0","-1","-0.91","0.1 (0, 0.19)","0.04","0.49","-1.18","-1.12","0.05 (-0.1, 0.21)","0.49","0.91"
"13","","HCZ Year 2","690","-0.01","0","-1.76","-1.86","-0.1 (-0.26, 0.05)","0.18","0.49","-1.62","-1.65","-0.02 (-0.12, 0.08)","0.66","0.91"
"14","","","","","","","","","","","","","","",""
"15","Cortisol residualized gain score","WAZ Year 2","691","-0.21","0.14","-1.44","-1.52","-0.08 (-0.18, 0.03)","0.17","0.49","-1.69","-1.78","-0.08 (-0.16, -0.01)","0.03","0.55"
"16","","WLZ Year 2","691","-0.21","0.14","-0.91","-1.01","-0.1 (-0.2, 0.01)","0.06","0.49","-1.1","-1.19","-0.09 (-0.18, -0.01)","0.02","0.55"
"17","","HCZ Year 2","690","-0.21","0.14","-1.86","-1.76","0.09 (-0.06, 0.25)","0.23","0.54","-1.7","-1.67","0.02 (-0.08, 0.13)","0.66","0.91"
"18","","","","","","","","","","","","","","",""
"19","Pre-stressor sAA","WAZ Year 2","749","3.48","4.63","-1.46","-1.44","0.03 (-0.07, 0.12)","0.58","1","-1.76","-1.77","-0.01 (-0.07, 0.06)","0.88","0.91"
"20","","WLZ Year 2","748","3.48","4.63","-0.97","-0.95","0.02 (-0.07, 0.1)","0.72","1","-1.22","-1.2","0.02 (-0.07, 0.1)","0.7","0.91"
"21","","HCZ Year 2","747","3.48","4.63","-1.8","-1.74","0.06 (-0.03, 0.15)","0.16","0.49","-1.64","-1.67","-0.03 (-0.16, 0.1)","0.68","0.91"
"22","","","","","","","","","","","","","","",""
"23","Post-stressor sAA","WAZ Year 2","714","3.88","5.13","-1.47","-1.38","0.09 (0, 0.18)","0.05","0.49","-1.7","-1.69","0.02 (-0.04, 0.08)","0.56","0.91"
"24","","WLZ Year 2","714","3.88","5.13","-1.06","-0.95","0.1 (-0.08, 0.28)","0.27","0.58","-1.31","-1.2","0.11 (-0.05, 0.28)","0.17","0.91"
"25","","HCZ Year 2","713","3.88","5.13","-1.81","-1.77","0.04 (-0.05, 0.13)","0.38","0.77","-1.69","-1.68","0.01 (-0.05, 0.07)","0.69","0.91"
"26","","","","","","","","","","","","","","",""
"27","Pre to post-stress change in slope of sAA","WAZ Year 2","702","-4.37","0.06","-1.41","-1.45","-0.04 (-0.1, 0.01)","0.13","0.49","-1.73","-1.73","0 (-0.03, 0.03)","0.97","0.97"
"28","","WLZ Year 2","702","-4.37","0.06","-0.96","-0.96","0 (0, 0)","1","1","-1.18","-1.18","0.01 (-0.03, 0.05)","0.67","0.91"
"29","","HCZ Year 2","701","-4.38","0.07","-1.79","-1.8","-0.01 (-0.1, 0.08)","0.83","1","-1.67","-1.67","0.01 (-0.03, 0.04)","0.74","0.91"
"30","","","","","","","","","","","","","","",""
"31","sAA residualized gain score","WAZ Year 2","703","-51.35","27.2","-1.46","-1.41","0.05 (-0.01, 0.11)","0.12","0.49","-1.73","-1.74","0 (-0.04, 0.03)","0.85","0.91"
"32","","WLZ Year 2","703","-51.35","27.2","-0.96","-0.96","0 (0, 0)","1","1","-1.18","-1.2","-0.01 (-0.06, 0.03)","0.51","0.91"
"33","","HCZ Year 2","702","-51.38","27.52","-1.79","-1.78","0 (-0.06, 0.07)","0.92","1","-1.67","-1.68","-0.01 (-0.05, 0.02)","0.43","0.91"
